Frame Info: 
Type,Depth
Format,Z16
Frame Number,8879
Timestamp (ms),1587620712887.33
Resolution x,640
Resolution y,360
Bytes per pixel,2

Intrinsic:,
Fx,318.402496
Fy,318.402496
PPx,320.865143
PPy,176.714935
Distorsion,Brown Conrady
,,,
,x,y,z
A,64.6116 , -234.523 , -28.8171
B,53.1366 , -223.373 , -28.8561
C,65.6731 , -210.469 , -28.2835
D,77.1482 , -221.619 , -28.2446
E,53.3998 , -223.14  , -39.8505
F,65.9362 , -210.237 , -39.278 
G,77.4114 , -221.386 , -39.239 
H,52.2814 , -227.257 , -41.2478
I,68.1089 , -210.586 , -40.5162
J,80.4369 , -222.291 , -40.4748
K,52.4943 , -227.065 , -50.2432
L,68.322  , -210.393 , -49.5116
M,80.6499 , -222.099 , -49.4702
N,63.4634 , -277.14  , -77.9009
O,85.3141 , -253.766 , -77.4634
P,98.4643 , -266.052 , -77.791 
Q,63.3844 , -276.692 , -97.8962
R,85.235  , -253.318 , -97.4587
S,98.3852 , -265.604 , -97.7863
,Test,GroundTruth,relative error(%)
AB,15.99998894,16,6.9125E-05
BC,18.00013664,18,0.000759111
CF,11.00009436,11,0.000857818
IJ,16.99965655,17,0.002020294
IH,22.99928772,23,0.00309687
IL,8.999993432,9,7.29778E-05
OP,17.99946882,18,0.002951
ON,31.99981832,32,0.00056775
OR,20.00047457,20,0.00237285
