Frame Info: ,,,
Type,Depth,,
Format,Z16,,
Frame Number,5176,,
Timestamp (ms),1.58762E+12,,
Resolution x,640,,
Resolution y,360,,
Bytes per pixel,2,,
,,,
Intrinsic:,,,
Fx,318.402496,,
Fy,318.402496,,
PPx,320.865143,,
PPy,176.714935,,
Distorsion,Brown Conrady,,
,,,
,x,y,z
A,64.2914,-296.057,-85.3569
B,56.4315,-282.121,-85.396
C,72.1013,-273.281,-84.8234
D,79.9613,-287.218,-84.7845
E,56.7498,-281.972,-96.3903
F,72.4192,-273.133,-95.8179
G,80.2796,-287.069,-95.7789
,Test,GroundTruth,relative error(%)
AB,15.99973915,16,0.001630313
BC,18.00044729,18,0.002484944
CF,11.00009067,11,0.000824273
