Frame Info: 
Type,Depth
Format,Z16
Frame Number,2171
Timestamp (ms),1587620914498.40
Resolution x,640
Resolution y,360
Bytes per pixel,2

Intrinsic:,
Fx,318.402496
Fy,318.402496
PPx,320.865143
PPy,176.714935
Distorsion,Brown Conrady
,,,
,x,y,z
A,75.1558 , -301.931 , -86.8073
B,66.4643 , -287.32  , -86.7885
C,86.223  , -275.567 , -86.1343
D,94.9147 , -290.177 , -86.1532
E,66.679  , -287.181 , -95.7849
F,86.4381 , -275.427 , -95.1307
G,95.1294 , -290.038 , -95.1496
,Test,GroundTruth,relative error(%)
AB,17.00070136,17,0.004125647
BC,22.99928721,23,0.003099087
CF,9.000060054,9,0.000667267
